NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,3.0,1.0,2.0,1,3.0,0,5.0,5.5,3.5,1.5,1.5
Central Business District,103.5,56.0,10.5,0,9.5,0,189.0,184.5,287.5,31.5,9.5
Dunbar-Southlands,4.0,1.0,2.0,0,1.5,0,8.5,7.5,5.0,1.0,2.0
Fairview,6.5,11.0,1.5,0,6.5,0,20.5,25.5,44.0,17.0,1.5
Grandview-Woodland,18.0,9.0,7.5,0,5.0,0,29.0,27.0,32.0,2.0,4.5
Hastings-Sunrise,7.0,5.0,5.5,0,6.0,0,14.0,28.0,15.0,2.0,7.5
Kensington-Cedar Cottage,12.5,2.5,6.5,1,4.0,0,20.5,31.0,30.0,7.0,7.5
Kerrisdale,2.0,1.0,4.0,0,2.0,0,1.5,9.5,7.5,1.0,0.0
Killarney,6.0,1.0,3.0,1,2.5,0,3.0,10.0,10.0,1.0,7.0
Kitsilano,5.5,5.0,6.0,0,5.0,0,17.0,27.0,31.5,9.5,2.0
Marpole,5.5,5.0,6.0,0,5.5,0,13.0,17.0,13.0,2.0,3.0
Mount Pleasant,21.0,18.0,5.0,0,7.0,0,29.0,33.5,55.5,12.5,4.5
Musqueam,1.0,0.0,0.0,0,0.0,0,1.0,3.0,0.0,0.0,1.0
Oakridge,2.0,2.0,4.5,0,2.5,0,4.0,11.0,4.5,2.0,2.0
Renfrew-Collingwood,14.0,3.0,7.5,1,6.0,0,19.0,32.5,86.0,3.0,9.5
Riley Park,4.0,2.5,7.5,0,5.5,0,4.5,11.0,11.5,2.5,2.0
Shaughnessy,1.5,0.0,6.0,0,3.0,0,3.5,8.5,2.5,0.0,1.0
South Cambie,3.0,3.0,2.0,0,0.0,0,4.0,5.5,6.5,1.5,2.0
Stanley Park,0.0,0.0,0.0,0,2.5,0,2.0,3.5,2.0,2.0,0.0
Strathcona,53.5,6.5,7.5,1,6.0,0,43.0,43.5,52.5,5.0,10.0
Sunset,9.5,4.5,1.5,0,7.5,1,15.5,22.0,50.5,3.0,4.0
Victoria-Fraserview,4.5,1.5,4.0,0,1.5,0,11.5,18.0,11.0,2.0,3.5
West End,42.5,15.0,4.5,0,4.0,0,41.0,72.0,65.0,12.0,5.0
West Point Grey,1.0,1.0,2.0,1,1.0,0,2.5,7.5,2.0,0.0,0.0
